month,time_years,emission_rate,block_reward,miners_count,w_dl,w_df,monthly_total_rewards,monthly_compute_rewards,monthly_data_rewards,monthly_dl_rewards,monthly_df_rewards,avg_compute_reward_per_miner,total_reward_top_miner,total_reward_regular_miner,electricity_cost_high,electricity_cost_low,circulating_supply
1,0.08333333333333333,0.9533893814183212,7409.809024151145,67400,0.4377568371327414,0.1622431628672586,6402074996.86659,2560829998.746636,3841244998.1199536,2802552101.7149234,1038692896.4050301,37994.51036716077,265961.5725701254,52242.45175484606,14.4,7.2,10702074996.866589
2,0.16666666666666666,0.879112671737764,6297.1232901269395,90856,0.426013324388797,0.17398667561120296,5440714522.669676,2176285809.0678706,3264428713.601805,2317816880.852916,946611832.7488898,23953.132529143597,167673.5095519516,32935.53251153833,14.4,7.2,16142789519.536264
3,0.25,0.8110841918822194,5390.037967056034,122474,0.4147490707753786,0.18525092922462139,4656992803.536413,1862797121.4145653,2794195682.1218476,1931483437.8743527,862712244.2474952,15209.735302305513,106471.12771258879,20913.339470751824,14.4,7.2,20799782323.072678
4,0.3333333333333333,0.7490720186916046,4646.086251368721,165096,0.4039445174671842,0.1960554825328158,4014218521.1825747,1605687408.47303,2408531112.7095447,1621521563.546929,787009549.1626159,9725.780203475735,68080.81488555684,13372.942256989283,14.4,7.2,24814000844.255253
5,0.4166666666666667,0.6927323809257658,4032.10834041866,222550,0.39358090384519046,0.20641909615480952,3483741606.121722,1393496642.448689,2090244963.6730332,1371134170.100483,719110793.5725503,6261.499179729,43830.494258103,8609.561372127375,14.4,7.2,28297742450.376976
6,0.5,0.6416573942757823,3522.172776172107,300000,0.3836402349214214,0.21635976507857857,3043157278.6127005,1217262911.4450803,1825894367.1676202,1167477573.26981,658416793.8978103,4057.5430381502674,28402.801267051873,5579.121677456617,14.4,7.2,31340899728.989677
7,0.5833333333333334,0.5954111209393836,3095.9509286434954,330000,0.3741052500931298,0.2258947499068702,2674901602.34798,1069960640.939192,1604940961.408788,1000694732.9209046,604246228.4878833,3242.3049725430064,22696.13480780104,4458.169337246633,14.4,7.2,34015801331.337658
8,0.6666666666666666,0.5535551339736589,2737.454343468862,363000,0.36495939317213677,0.2350406068278632,2365160552.757097,946064221.1028388,1419096331.654258,863187560.0889056,555908771.5653524,2606.2375236992802,18243.66266589496,3583.5765950865107,14.4,7.2,36380961884.09476
9,0.75,0.5156654830413605,2434.0587193765177,399300,0.35618678363729167,0.2438132163627083,2103026733.5413113,841210693.4165245,1261816040.1247866,749070328.1233191,512745712.00146735,2106.713482135048,14746.99437494533,2896.7310379356904,14.4,7.2,38483988617.63607
10,0.8333333333333334,0.4813430682487468,2175.751779844885,439230,0.34777218906013313,0.25222781093986685,1879849537.7859805,751939815.1143923,1127909722.6715882,653759388.8595098,474150333.81207836,1711.9500378261782,11983.650264783246,2353.931302010995,14.4,7.2,40363838155.42205
11,0.9166666666666666,0.4502192225951663,1954.5545384220961,483153,0.3397009986558749,0.2602990013441251,1688735121.196691,675494048.4786764,1013241072.7180146,573665007.1357659,439576065.58224875,1398.0955276665495,9786.720780428754,1922.380536692152,14.4,7.2,42052573276.618744
12,1.0,0.421957974347158,1764.076023398793,531468,0.33195919791379,0.26804080208620995,1524161684.216557,609664673.6866229,914497010.5299342,505959490.1834595,408537520.3464746,1147.1333620963499,8029.9723865283195,1577.3077658265477,14.4,7.2,43576734960.835304
